doi,capture.READER_COUNT,citation.Scopus,citation.CrossRef,citation.Academic Citation Index (ACI) - airiti,citation.PubMed,citation.Policy Citation,citation.Patent Families,mention.NEWS_COUNT,mention.FACEBOOK_COUNT,mention.REFERENCE_COUNT,citation.SSRN,mention.ABSTRACT_VIEWS,mention.DOWNLOAD_COUNT,mention.ALL_BLOG_COUNT,citation.PubMed Guidelines,mention.FULL_TEXT_VIEWS,citation.SciELO,capture.EXPORTS_SAVES,citation.CSCD
10.1158/1541-7786.mcr-14-0255-t,21.0,17.0,12.0,,9.0,,,,,,,,,,,,,,
10.1145/2591056.2591058,20.0,2.0,1.0,,,,,,,,,,,,,,,,
10.1117/1.jbo.19.5.050501,39.0,50.0,38.0,,7.0,1.0,,,,,,,,,,,,,
10.1063/1.4896343,1.0,3.0,2.0,,,,,,,,,,,,,,,,
10.7227/ijeee.51.2.1,12.0,3.0,1.0,,,,,,,,,,,,,,,,
10.1242/jeb.105536,14.0,14.0,10.0,,4.0,,,,,,,,,,,,,,
10.1111/twec.12166,24.0,15.0,14.0,,,1.0,,,,,,212.0,1.0,,,,,,
10.1158/1055-9965.epi-13-0746,51.0,19.0,15.0,,10.0,,,,,,,40.0,,,,,,,
10.1063/1.4896164,27.0,5.0,4.0,,3.0,,,,,,,,,,,,,,
10.1080/10584587.2014.911635,1.0,,,,,,,,,,,,,,,,,,
10.1021/om500001h,65.0,93.0,90.0,,,,,,68.0,,,,,,,,,,
10.1089/ten.tec.2013.0581,28.0,15.0,10.0,,6.0,,,,4257.0,,,,,,,,,,
10.1115/1.4027986,47.0,12.0,4.0,,,,,,,,,,,,,,,,
10.1158/1078-0432.ccr-13-2103,59.0,43.0,39.0,,3.0,,,,,,,,,,,,,,
10.1111/jbi.12344,73.0,7.0,7.0,,,1.0,,,,,,,,,,,,,
10.1093/czoolo/60.6.768,27.0,6.0,2.0,,,,,,,,,28.0,574.0,,,,,,
10.1055/s-0034-1393932,167.0,48.0,1.0,,18.0,2.0,,,3.0,,,,,,,,,,
10.1111/ldrp.12039,21.0,11.0,11.0,,,,,,,,,,,,,,,,
10.1021/ct500594z,21.0,13.0,13.0,,3.0,,,,,,,,,,,,,,
10.1089/fpd.2013.1648,61.0,22.0,19.0,,10.0,,,,,,,,,,,,,,
10.4103/1947-489x.210393,,,,,,,,,,,,,,,,,,,
10.1177/0146167214528991,54.0,28.0,19.0,,3.0,,,,,,,,,1.0,,,,,
10.3390/ani4030476,13.0,3.0,3.0,,2.0,,,,,,,6.0,173.0,,,,,,
10.1002/acp.3065,52.0,29.0,12.0,,,2.0,,1.0,2.0,,,,,1.0,,,,,
10.1021/bk-2014-1161,33.0,,3.0,,,,,,,,,,,,,,,,
10.1080/15614263.2014.978320,60.0,18.0,14.0,,,,,,,,,,,,,,,,
10.1021/ic501290q,15.0,11.0,11.0,,5.0,,,,2337.0,,,3.0,,,,,,,
10.5465/ambpp.2014.10200abstract,1.0,,,,,,,,,,,,,,,,,,
10.1158/1940-6207.capr-14-0140,32.0,5.0,3.0,,3.0,,,,,,,,,,,,,,
10.3109/03008207.2014.923858,20.0,25.0,14.0,,14.0,,,1.0,,,,,,,,,,,
10.3410/f.718270054.793490703,209.0,296.0,122.0,,53.0,,,1.0,4.0,1.0,,10.0,,,,,,,
10.1200/jco.2013.54.8917,56.0,35.0,27.0,,21.0,2.0,,,,,,,,,,,,,
10.3390/ijerph110707456,10.0,4.0,3.0,,3.0,,,,,,,,,,,,,,
10.14778/2733085.2733106,129.0,166.0,114.0,,,,1.0,,,,,,,,,,,,
10.1146/annurev-neuro-062012-170320,248.0,140.0,151.0,,59.0,,,1.0,,,,,,,,,,,
10.1167/iovs.14-14303,59.0,86.0,18.0,,42.0,,,,,,,,,,,,,,
10.1080/19317611.2013.833152,135.0,101.0,59.0,,,4.0,,,,3.0,,,,,,,,,
10.1021/jz502093c,59.0,61.0,62.0,,4.0,,,,2.0,,,,,,,,,,
10.5465/ambpp.2014.11846symposium,2.0,,,,,,,,,,,,,,,,,,
10.1111/jrh.12072,162.0,31.0,27.0,,16.0,,,,,,,,,,,,,,
10.4018/978-1-4666-4514-1.ch013,11.0,9.0,5.0,,,,,,,,,,,,,,,,
10.23907/2014.070,2.0,,,,,,,,,,,,,,,,,,
10.23907/2014.065,1.0,5.0,1.0,,,6.0,,,,,,,,,,,,,
10.1002/sej.1175,124.0,82.0,66.0,,,,,,,,,,,,,,,,
10.1002/2014jc009994,50.0,,37.0,,,,,,,,,,,,,,,,
10.1177/0300985814552107,20.0,2.0,,,1.0,,,,,,,,,,,,,,
10.1002/smj.2283,181.0,62.0,58.0,2.0,,,,,,,,,,,,,,,
10.1177/0733464813515090,90.0,22.0,15.0,,9.0,,,,,,,,,,,,,,
10.1111/sjos.12061,7.0,27.0,25.0,,,,,,,,,,,,,,,,
10.1111/jwas.12143,40.0,5.0,3.0,,,,,,,,,,,,,,,,
10.1002/wsb.452,9.0,2.0,2.0,,,,,,,,,,,,,,,,
10.1111/jzo.12092,35.0,21.0,19.0,,,,,,,,,,,,,,,,
10.1002/bimj.201300251,13.0,3.0,3.0,,,,,,,,,,,,,,,,
10.1287/mnsc.2013.1751,309.0,174.0,176.0,2.0,,8.0,,1.0,1184.0,,,,,,,,,,
10.1021/ml500128g,31.0,30.0,28.0,,25.0,,,,16.0,,,,,,,,,,
10.1002/sej.1176,237.0,191.0,151.0,,,4.0,,,1.0,,,,,,,,,,
10.2527/jas.2013-6795,32.0,14.0,10.0,,6.0,,,,,,,,,,,,,,
10.2308/atax-50766,122.0,35.0,35.0,,,2.0,,,,,,,,,,,,,
10.1115/msec2014-3915,9.0,5.0,3.0,,,,,,,,,,,,,,,,
10.1080/00083968.2014.943489,4.0,3.0,2.0,,,,,,,,,,,,,,,,
10.1002/j.2161-1882.2014.00061.x,121.0,27.0,26.0,,,,,,,,,,,,,,,,
10.1002/bdm.1836,73.0,26.0,19.0,,,,,,,,,,,,,,,,
10.1111/eth.12288,23.0,11.0,11.0,,,,,,,,,,,,,,,,
10.1121/1.4877667,3.0,,,,,,,,,,,,,,,,,,
10.1177/009164711404200111,67.0,,41.0,,,,,11.0,,,,,,4.0,,,,,
10.2105/ajph.2014.302070,80.0,49.0,42.0,,22.0,3.0,,2.0,,,,,,,,,,,
10.5465/ambpp.2014.10394abstract,2.0,,,,,,,,,,,,,,,,,,
10.1121/1.4900340,,,1.0,,,,,,,,,,,,,,,,
10.1021/jp4096369,55.0,72.0,60.0,,,,,,,,,,,,,,,,
10.5465/ambpp.2014.12102abstract,,,,,,,,,,,,,,,,,,,
10.1161/circ.130.suppl_2.11803,3.0,,,,,,,,,,,,,,,,,,
10.1121/1.4877325,1.0,,1.0,,,,,,,,,,,,,,,,
10.1111/j.1532-950x.2014.12140.x,97.0,15.0,12.0,,2.0,,,,,,,,,,,,,,
10.1105/tpc.114.125591,115.0,69.0,55.0,,43.0,,,,,,,,,,,,,,
10.1002/adfm.201400597,61.0,73.0,68.0,,,,,,,,,,,,,,,,
10.1089/jwh.2012.4224,211.0,68.0,28.0,,33.0,3.0,,,3.0,,,,,,,,,,
10.1182/blood.v124.21.3613.3613,2.0,,,,,,,,,,,,,,,,,,
10.1021/ma402328k,34.0,53.0,47.0,,,,,,,,,,,,,,,,
10.18632/oncotarget.2170,35.0,31.0,14.0,,19.0,,,,,,,,,,,,,,
10.1002/cncr.28976,17.0,16.0,20.0,,7.0,,1.0,,,,,,,,,,,,
10.1111/jora.12123,26.0,14.0,16.0,,,,,,,,,,,,,,,,
10.1117/1.jrs.8.083661,47.0,25.0,9.0,,,,,,,,,,,,,,,,
10.1002/ccd.25567,20.0,19.0,15.0,,6.0,2.0,,,,,,,,,,,,,
10.2527/jas.2014-7713,77.0,67.0,16.0,,21.0,,,,,,,,,,,,,,
10.1287/orsc.2013.0847,172.0,24.0,24.0,,,1.0,,,1230.0,,,,,,,,,,
10.1002/rcm.6820,11.0,9.0,7.0,,2.0,,,,,,,,,,,,,,
10.1175/jcli-d-13-00155.1,39.0,29.0,18.0,,,,,,,,,,,,,,,,
10.1096/fasebj.28.1_supplement.1106.14,2.0,,,,,,,,,,,,,,,,,,
10.7566/jpscp.3.013014,3.0,,,,,,,,,,,,,,,,,,
10.1177/1461444814555096,155.0,82.0,71.0,1.0,,,,,,,,,,,,,,,
10.1200/jco.2014.32.15_suppl.tps2628,7.0,,,,,,,,,,,,,,,,,,
10.1002/jcp.24596,18.0,31.0,32.0,,23.0,,,,,,,43.0,,,,,,,
10.1021/jp502876r,34.0,85.0,75.0,,,,,,,,,,,,,,,,
10.1287/orsc.2013.0855,276.0,124.0,111.0,,,1.0,,,,,,,,,,,,,
10.1002/adfm.201470196,,,1.0,,,,,,,,,,,,,,,,
10.1080/15564886.2014.918069,44.0,15.0,9.0,,,,,,,,,,,,,,,,
10.1182/blood.v124.21.5334.5334,3.0,,,,,,,,,,,,,,,,,,
10.1080/10835547.2014.12091394,48.0,,,,,1.0,,,,,,,,,,,,,
10.1002/mus.24098,55.0,26.0,23.0,,11.0,,,,,,,,,,,,,,
10.1089/space.2014.0026,6.0,,,,,,,,,,,,,,,,,,
10.4018/ijagr.2014070102,12.0,5.0,3.0,,,,,,,,,,,,,,,,
10.1002/2013jb010755,76.0,109.0,90.0,,,6.0,,1.0,,,,13.0,246.0,,,,,,
10.1111/rssb.12064,60.0,83.0,87.0,,35.0,,,,,,,,,,,,,,
10.1145/2674396.2674415,27.0,4.0,4.0,,,,,,,,,,,,,,,,
10.5465/ambpp.2014.15844abstract,15.0,,1.0,,,,,,,,,,,,,,,,
10.1182/blood.v124.21.3106.3106,2.0,,,,,,,,,,,,,,,,,,
10.1111/ijpo.270,75.0,27.0,24.0,,13.0,,,,2.0,,,,,,,,,,
10.7717/peerj.386,95.0,41.0,48.0,,25.0,,,,56.0,,,,,,,,,,
10.1177/009164711404200107,40.0,,14.0,,,,,,,,,,,1.0,,,,,
10.1177/1065912914554039,66.0,87.0,88.0,,,10.0,,5.0,,1.0,,1.0,,2.0,,,,,
10.1096/fasebj.28.1_supplement.270.7,7.0,,2.0,,,,,,,,,,,,,,,,
10.1145/2675316.2675326,19.0,8.0,7.0,,,,,,,,,,,,,,,,
10.1111/jcc4.12091,68.0,38.0,11.0,,,,,,,,,,,,,,,,
10.1001/jama.2014.389,2.0,7.0,4.0,,2.0,,,,36871.0,,,,,,,,,,
10.1002/j.2161-1939.2014.00053.x,41.0,23.0,14.0,,,,,,,,,36.0,,,,,,,
10.1177/1362168814541737,124.0,20.0,10.0,,,,,,,,,,,,,,,,
10.1002/mus.24160,15.0,14.0,13.0,,10.0,,1.0,,,,,,,,,,,,
10.1063/1.4902934,38.0,2.0,2.0,,,,,,,,,,,,,,,,
10.1021/jz500282t,45.0,35.0,32.0,,5.0,,,,,1.0,,,,,,,,,
10.1111/famp.12114,90.0,35.0,22.0,,10.0,,,,,1.0,,,,,,,,,
10.1111/gcb.12418,171.0,123.0,117.0,,22.0,,,,,,,,,,,,,,
10.1021/jf501635a,14.0,9.0,6.0,,,,,,,,,,,,,,,,
10.1111/j.1532-950x.2014.12280.x,58.0,4.0,5.0,,,,,,,,,,,,,,,,
10.1002/j.2161-1882.2014.00048.x,11.0,4.0,2.0,,,,,,,,,,,,,,,,
10.4043/25151-ms,6.0,,,,,,,,,,,,,,,,,,
10.2118/168419-ms,5.0,,,,,,,,,,,,,,,,,,
10.1177/1090198114557128,147.0,32.0,20.0,,17.0,,,,,,,,,,,,,,
10.1200/jco.2014.32.15_suppl.e14000,7.0,,,,,,,,,,,,,,,,,,
10.1177/0093650214552519,155.0,48.0,35.0,,,,,1.0,,,,,,,,,,,
10.1002/2014jd022083,8.0,5.0,4.0,,,,,,,,,,,,,,,,
10.1111/josh.12145,109.0,11.0,11.0,,5.0,,,,3.0,,,,,1.0,,,,,
10.1158/1538-7755.disp13-c54,,,,,,,,,,,,,,,,,,,
10.3109/10826084.2014.935948,61.0,34.0,22.0,,9.0,,,,,,,,,,,,,,
10.1161/atvb.34.suppl_1.379,2.0,,,,,,,,,,,,,,,,,,
10.5465/ambpp.2014.12616abstract,1.0,,,,,,,,,,,,,,,,,,
10.1200/jco.2014.32.15_suppl.7094,3.0,,,,,,,,,,,,,,,,,,
10.1145/2542048,28.0,35.0,24.0,,,,,,,,,,,,,,,,
10.1002/2013jf002930,23.0,67.0,54.0,,,,,,,,,,,,,,,,
10.1021/am404951v,12.0,38.0,37.0,,3.0,,,,,,,,,,,,,,
10.1109/tcst.2014.2299437,20.0,7.0,6.0,,,,,,,,,,,,,,,,
10.1021/bk-2014-1160.ch013,8.0,1.0,1.0,,,,,,,,,,,,,,,,
10.1096/fasebj.28.1_supplement.lb213,1.0,,,,,,,,,,,,,,,,,,
10.1145/2567948.2577270,53.0,7.0,5.0,,,,,,,,,,,,,,,,
10.1634/theoncologist.2013-0231,17.0,11.0,9.0,,3.0,,,,,,,,,,,,,,
10.2134/agronj2013.0325,33.0,59.0,49.0,,,,,,,,,,,,,,,,
10.1177/1066480714564381,86.0,30.0,8.0,,,2.0,,2.0,,,,,,,,,,,
10.1080/02755947.2014.951806,12.0,7.0,7.0,,,1.0,,,,,,,,,,,,,
10.1128/mbio.02186-14,41.0,70.0,52.0,,49.0,,,,60.0,,,,,,,,,,
10.1182/blood-2013-10-535112,201.0,143.0,120.0,,77.0,,,,,1.0,,,,,,,,,
10.1002/icd.1893,42.0,11.0,7.0,,,,,,,,,,,,,,,,
10.1002/polb.23598,17.0,13.0,12.0,,,,,,,,,,,,,,,,
10.1002/mcda.1528,9.0,17.0,15.0,,,,,,,,,,,,,,,,
10.1177/0017896914552000,56.0,3.0,2.0,,,,,,,,,,,,,,,,
10.1063/1.4861386,28.0,46.0,36.0,,,,,,,,,,,,,,,,
10.1111/jvp.12196,21.0,6.0,7.0,,2.0,,,,,,,,,,,,,,
10.3198/jpr2014.04.0020crc,4.0,6.0,4.0,,,,1.0,,,,,,,,,,,,
10.3109/14659891.2014.949317,42.0,4.0,5.0,,,,,,,,,,,,,,,,
10.2166/wcc.2014.147,13.0,2.0,2.0,,,,,,,,,,,,,,,,
10.1002/ar.22777,,,,,,,,,,,,,,,,,,,
10.1055/s-0034-1374815,116.0,16.0,,,9.0,,,,,,,24.0,,,,,,,
10.2166/wh.2014.237,45.0,17.0,10.0,,4.0,2.0,,,,,,,,,,,,,
10.3233/jvr-140708,72.0,18.0,5.0,,,,,,,,,,,,,,,,
10.1091/mbc.e13-05-0293,35.0,20.0,18.0,,12.0,,,,,,,,,,,,,,
10.1002/ar.22948,34.0,13.0,12.0,,2.0,,,,,,,,,,,,,,
10.1063/1.4889881,20.0,5.0,4.0,,,,,,,,,,,,,,,,
10.1002/ppul.23020,44.0,38.0,36.0,,16.0,,,,,,,,,,,,,,
10.1177/0898264314529333,39.0,49.0,36.0,,23.0,2.0,,,,,,,,,,,,,
10.1080/15388220.2013.840641,102.0,19.0,21.0,,,3.0,,,,,,,,,,,,,
10.1002/met.1456,15.0,15.0,5.0,,,,,,,,,,,,,,,,
10.1128/jcm.01190-14,36.0,9.0,3.0,,4.0,1.0,,,,,,,,,,,,,
10.1177/0361684314521784,170.0,50.0,41.0,,,2.0,,4.0,,1.0,,,,,,,,,
10.4049/jimmunol.192.supp.45.13,1.0,,,,,,,,,,,,,,,,,,
10.1200/jco.2014.32.15_suppl.e20589,5.0,,2.0,,,,,,,,,,,,,,,,
10.1117/1.jrs.8.084694,12.0,15.0,2.0,,,,,,,,,,,,,,,,
10.1093/aepp/ppu007,63.0,37.0,31.0,,,8.0,,,,,,,,,,,,,
10.1002/etc.2514,28.0,16.0,15.0,,5.0,,,,,,,,,,,,,,
10.1002/smj.2313,487.0,208.0,219.0,,,1.0,,,,,,,,,,,,,
10.1002/pbc.25323,38.0,26.0,21.0,,6.0,1.0,,,,,,,,,,,,,
10.2134/csa2014-59-10-10,2.0,,,,,,,,,,,,,,,,,,
10.1177/1045389x14556163,13.0,6.0,2.0,,,,,,,,,,,,,,,,
10.2527/jas.2014-7754,20.0,7.0,3.0,,3.0,,,,,,,,,,,,,,
10.1021/jf5017829,26.0,20.0,20.0,,11.0,,,3.0,,,,,,,,,,,
10.1177/0734016814564696,43.0,18.0,13.0,,,,,,,,,,,,,,,,
10.1111/isj.12037,169.0,109.0,81.0,1.0,,,,,,,,,,,,,,,
10.1021/nn405036u,324.0,533.0,488.0,,44.0,,,,,,,,,,,,,,
10.1200/jco.2014.32.4_suppl.323,,,,,,,,,,,,,,,,,,,
10.1161/circ.129.suppl_1.p173,8.0,,,,,,,,,,,,,,,,,,
10.2514/1.j052479,19.0,6.0,7.0,,,,,,,,,,,,,,,,
10.1021/jz5007912,16.0,29.0,20.0,,5.0,,,,13.0,1.0,,,,,,,,,
10.1177/1541204014551805,82.0,51.0,24.0,,,1.0,,,,,,,,1.0,,,,,
10.1158/1538-7445.am2014-1387,5.0,,,,,,,,,,,,,,,,,,
10.1002/2013pa002524,62.0,63.0,63.0,,,,,,,,,,,,,,,,
10.3233/nre-141058,49.0,3.0,,,,,,,,,,,,,,,,,
10.1002/agr.21409,30.0,,,,,,,,,,,,,,,,,,
10.1155/2014/659152,1.0,4.0,1.0,,,,,,,,,14.0,,,,,,,
10.2308/ciia-50691,19.0,4.0,3.0,,,,,,,,,,,,,,,,
10.1200/jco.2014.32.15_suppl.10571,1.0,,,,,,,,,,,,,,,,,,
10.3390/fib2040285,65.0,50.0,49.0,,,,,,,,,,,,,,,,
10.1111/psyp.12185,57.0,29.0,27.0,,18.0,,,,,,,,,,,,,,
10.1111/padm.12097,16.0,4.0,2.0,,,,,,,,,16.0,374.0,,,,,,
10.1111/etap.12025,429.0,188.0,84.0,1.0,,2.0,,,,,2.0,393.0,,,,,,,
10.1111/phpp.12110,18.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
10.4085/1062-6050-49.3.15,85.0,48.0,26.0,,25.0,,,,,,,,,,,,,,
10.1177/0886260514549053,76.0,38.0,24.0,,14.0,1.0,,,,1.0,,,,,,,,,
10.1098/rspb.2013.2653,182.0,51.0,28.0,,22.0,,,,,,,,,,,,,,
10.3198/jpr2013.07.0042crc,11.0,8.0,3.0,,,,,,,,,,,,,,,,
10.1182/blood.v124.21.5219.5219,1.0,,,,,,,,,,,,,,,,,,
10.3198/jpr2013.08.0044crg,4.0,2.0,2.0,,,,,,,,,,,,,,,,
10.1002/2014jb011327,33.0,29.0,26.0,,,,,1.0,,,,,,,,,,,
10.1002/rnc.3149,7.0,9.0,10.0,,,,,,,,,,,,,,,,
10.1002/pmh.1268,39.0,6.0,1.0,,3.0,,,,,,,,,,,,,,
10.1117/1.oe.53.3.036103,15.0,11.0,8.0,,,1.0,,,,,,,,,,,,,
10.1094/pdis-06-14-0619-pdn,3.0,3.0,1.0,,1.0,,,,,,,,,,,,,,
10.1177/0002764214527091,231.0,121.0,72.0,,,3.0,,,,,,,,,,,,,
10.1021/es5040156,146.0,121.0,106.0,,16.0,25.0,1.0,3.0,5.0,,,,,2.0,,,,,
10.7717/peerj.441,84.0,17.0,3.0,,3.0,,,,23.0,1.0,,,,,,,,,
10.1200/jco.2014.32.15_suppl.8042,2.0,,1.0,,,,,,,,,,,,,,,,
10.1111/comt.12032,71.0,31.0,32.0,,,,,,,,,,,,,,,,
10.1039/c3cc49451a,21.0,18.0,20.0,,5.0,,,,,,,,,,,,,,
10.1128/9781555815691.ch23,1.0,,,,,,,,,,,,,,,,,,
10.1145/2554850.2555029,11.0,5.0,2.0,,,,,,,,,,,,,,,,
10.1128/9781555815691.ch27,,,,,,,,,,,,,,,,,,,
10.1111/jcom.12105,208.0,202.0,165.0,2.0,,8.0,,3.0,,,,,,1.0,,,,,
10.1002/pits.21777,119.0,97.0,52.0,1.0,,7.0,,7.0,6.0,,,,,,,,,,
10.1139/apnm-2013-0268,17.0,10.0,7.0,,6.0,,,,,,,,,,,,,,
10.1021/jf503651t,138.0,119.0,106.0,,53.0,,,,,,,,,,,,,,
10.1002/cpe.3245,15.0,13.0,12.0,,,,,,,,,,,,,,,,
10.1002/cav.1586,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10.2190/cs.16.3.g,,,,,,,,,,,,,,,,,,,
10.1111/jvp.12144,15.0,8.0,8.0,,2.0,,,,,,,,,,,,,,
10.1002/2013jd020046,62.0,126.0,112.0,,,1.0,,,,,,,,,,,,,
10.1117/1.jrs.8.084601,5.0,,,,,,,,,,,,,,,,,,
10.1177/0893318914549952,46.0,33.0,28.0,,,,,,,,,,,,,,,,
10.1002/dvg.22751,54.0,30.0,29.0,,21.0,,,,,,,,,,,,,,
10.1002/ppsc.201400143,23.0,14.0,15.0,,,,1.0,,,,,,,,,,,,
10.1177/1087724x14547823,16.0,,,,,,,,,,,32.0,,,,,,,
10.2527/jas.2014-7814,70.0,53.0,46.0,,27.0,,,,,,,,,,,,,,
10.1080/10789669.2013.869126,59.0,26.0,24.0,,,,,,,,,,,,,,,,
10.1002/2013gl059178,22.0,30.0,12.0,,,,,,,,,,,,,,,,
10.1061/(asce)st.1943-541x.0001115,20.0,7.0,4.0,,,,,,,,,,,,,,,,
10.1002/j.2161-1882.2014.00052.x,57.0,21.0,18.0,,,,,,,,,,,,,,,,
10.1177/0273475314522039,34.0,18.0,12.0,,,,,,,,,,,,,,,,
10.1158/1078-0432.ccr-13-2403,50.0,88.0,67.0,,51.0,,,,,,,,,,,,,,
10.1111/nyas.12534,46.0,6.0,7.0,,4.0,,,,,,,,,,,,,,
10.1080/08974454.2013.842521,12.0,11.0,8.0,,,,,,,,,,,,,,,,
10.1509/jm.12.0468,159.0,77.0,43.0,,,,,,,,,,,,,,,,
10.1177/0022002714553105,50.0,15.0,10.0,,,,,1.0,,,,,,,,,,,
10.1515/forum-2013-0136,,3.0,1.0,,,,,,5877.0,,,,,,,,,,
10.1002/2014jg002670,84.0,117.0,110.0,,,,,,,,,,,,,,,,
10.1111/1462-2920.12373,81.0,72.0,67.0,,46.0,,,,,,,,,,,,,,
10.1001/jamaneurol.2014.391,171.0,65.0,21.0,,33.0,,,1.0,2.0,,,,,,,,,,
10.1115/detc2014-34324,,,,,,,,,,,,,,,,,,,
10.1002/jcc.23791,16.0,4.0,4.0,,1.0,,,,,,,,,,,,,,
10.1128/mbio.01484-14,94.0,71.0,64.0,,35.0,,,,22.0,1.0,,,,,,,,,
10.1142/s0217979214750046,3.0,1.0,1.0,,,,,,6.0,,,,,,,,,,
10.1158/1541-7786.mcr-13-0611,87.0,40.0,41.0,,23.0,,,,,,,,,1.0,,,,,
10.1044/ffd24.2.58,15.0,,2.0,,,,,,,,,,,,,,,,
10.1039/c4tc00492b,8.0,13.0,13.0,,,,,,,,,,,,,,,,
10.1111/ropr.12067,53.0,46.0,40.0,,,2.0,,,,,,,,,,,,,
10.1177/0276146714529306,168.0,73.0,44.0,1.0,,7.0,,,,,,7.0,,,,,,,
10.1063/1.4876215,12.0,13.0,10.0,,,,,,,,,,,,,,,,
10.3390/rs6054025,40.0,10.0,8.0,,,,,,,,,,,,,,,,
10.3390/ijgi4010032,81.0,25.0,23.0,,,,,,1.0,,,,,,,,,,
10.3141/2429-14,31.0,10.0,3.0,,,,,,,,,,,,,,,,
10.56577/sm-2014.233,,,,,,,,,,,,,,,,,,,
10.1002/jbmr.2391,36.0,49.0,47.0,,30.0,,,,,,,,,,,,,,
10.1105/tpc.113.115980,132.0,60.0,43.0,,43.0,,,,,,,2.0,,,,,,,
10.3390/su6096107,156.0,61.0,47.0,,,,,,,,,,,,,,,,
10.1152/japplphysiol.00973.2013,28.0,22.0,12.0,,15.0,,,,17.0,,,,,,,,,,
10.1021/nl503284x,107.0,110.0,104.0,,13.0,,,,,,,,,,,,,,
10.3390/en7021050,26.0,69.0,56.0,,,,,,,,,,,,,,,,
10.1145/2638728.2638804,32.0,,,,,,,,,,,,,,,,,,
10.1145/2600428.2609458,76.0,46.0,32.0,,,,,,,,,,,,,,,,
10.1155/2014/469572,1.0,4.0,2.0,,,,,,,,,47.0,,,,,,,
10.1128/jvi.03540-13,25.0,25.0,23.0,,17.0,,,,1.0,,,,,,,,,,
10.1145/2638548,34.0,15.0,11.0,,,,,,,,,,,,,,,,
10.1111/famp.12115,88.0,14.0,9.0,,3.0,,,,,,,,,,,,,,
10.1027/1614-2241/a000084,24.0,20.0,5.0,,,,,,,,,,,,,,,,
10.1002/hed.23499,37.0,28.0,29.0,,18.0,,,1.0,,,,,,,,,,,
10.1021/am500422j,17.0,35.0,34.0,,4.0,,,,,,,,,,,,,,
10.1095/biolreprod.114.123935,64.0,10.0,5.0,,5.0,,,,,,,,,,,,,,
10.1158/1078-0432.ccr-13-1507,43.0,43.0,37.0,,28.0,,,,1.0,,,,,,,,,,
10.1515/mlt-2013-0001,21.0,,7.0,,,,,,,,,,,,,,,,
10.1177/009164711404200109,179.0,,36.0,,,,,,,,,,,,,,,,
10.4155/tde.13.145,24.0,5.0,4.0,,3.0,,,,,,,,,,,,,,
10.1021/es5015407,71.0,87.0,83.0,,12.0,,,,,1.0,,,,,,,,,
10.1142/s1793984414410207,1.0,,,,,,,,,,,,,,,,,,
10.1063/1.4887068,28.0,19.0,19.0,,,,,,,,,,,,,,,,
10.1111/hae.12481,47.0,34.0,29.0,,5.0,,,,,,,,,,,,,,
10.2134/agronj2013.0448,25.0,7.0,5.0,,,,,,,,,,,,,,,,
10.2134/cm-2014-0020-mg,5.0,,2.0,,,,,,,,,,,,,,,,
10.4085/1062-6050-49.3.85,204.0,43.0,39.0,,14.0,,1.0,1.0,108.0,,,,,,,,,,
10.1152/ajplung.00330.2013,199.0,196.0,85.0,,107.0,,,,,1.0,,,,,,,,,
10.2134/agronj13.0503,26.0,35.0,24.0,,,,,,,,,,,,,,,,
10.1002/cbm.1900,163.0,54.0,48.0,,10.0,1.0,,,7.0,,,,,,,,,,
10.1111/jac.12097,7.0,2.0,1.0,,,1.0,,,,,,,,,,,,,
10.1158/0008-5472.can-13-2033,119.0,202.0,179.0,,111.0,,,,,,,,,2.0,,,,,
10.1021/ic502162p,59.0,58.0,51.0,,3.0,,,,,,,2.0,51.0,,,,,,
10.1039/c3sc52965g,29.0,70.0,68.0,,,,,,,,,,,,,,,,
10.1111/rode.12100,7.0,2.0,2.0,,,,,,,,,398.0,1.0,,,,,,
10.1155/2014/380424,19.0,10.0,2.0,,5.0,,,,,,,54.0,1.0,,,,,,
10.1111/deci.12056,144.0,67.0,56.0,1.0,,,,,,,,,,,,,,,
10.1128/mbio.00946-13,123.0,81.0,70.0,,56.0,,,,,,,,,,,,,,
10.1002/joc.3924,15.0,4.0,4.0,,,,,,,,,,,,,,,,
10.1111/ropr.12104,56.0,55.0,51.0,,,1.0,,1.0,,,,,,,,,,,
10.1002/cam4.211,34.0,14.0,15.0,,6.0,,1.0,,,,,,,,,,,,
10.1039/c4dt00961d,20.0,8.0,7.0,,2.0,,,,,,,,,,,,,,
10.1177/1471082x14535517,24.0,13.0,11.0,,,,,,,,,,,,,,,,
10.1155/2014/845207,22.0,3.0,2.0,,1.0,,,,,,,,,,,,,,
10.1111/dsji.12038,102.0,24.0,16.0,,,,,,,,,,,,,,,,
10.1177/1524839914532651,186.0,30.0,22.0,,8.0,2.0,,,,,,,,1.0,,,,,
10.1039/c4tc01006j,11.0,16.0,17.0,,,,,,,,,1.0,,,,,,,
10.1111/apha.12375,4.0,6.0,6.0,,1.0,,,,,,,,,,,,,,
10.1145/2645710.2645737,219.0,151.0,90.0,,,,,,,,,,,,,,,,
10.5014/ajot.2014.011874,57.0,7.0,9.0,,1.0,,,,,,,,,,,,,,
10.1155/2014/303810,36.0,1.0,,,,,,,,,,,,,,,,,
10.3390/plants3010160,144.0,70.0,67.0,,33.0,,,,,,,,,,,,,,
